Home Player Win,Home Player Country,Away Player Country,Date,Difference of Age:  Home Player,Difference Height: Home Player,Difference Weight: Home Player,Home Player Age,Home Player Height (Inches),Home Player Weight (Lbs),Away Player Age,Away Player Height (Inches),Away Player Weight (Lbs)
0,USA,USA,43038,-1,-3,7,21,81,255,22,84,248
1,Latvia,USA,43038,-10,7,-6,23,87,240,33,80,246
0,Switzerland,Cameroon,43038,0,-2,-10,24,82,240,24,84,250
0,Spain,USA,43038,1,2,-10,33,85,255,32,83,265
1,USA,Montenegro,43038,-2,-2,-7,25,82,253,27,84,260
1,France,USA,43038,2,3,25,26,86,245,24,83,220
1,Bosnia and Herzegovina,Brazil,43038,-2,0,55,24,84,275,26,84,220
1,USA,Russia,43038,-4,0,-5,30,83,265,34,83,270
0,Lithuania,USA,43039,-3,-1,0,22,83,240,25,84,240
1,South Sudan,New Zealand,43039,-4,1,-44,21,85,221,25,84,265
0,USA,USA,43039,5,1,-9,30,84,270,25,83,279
0,USA,USA,43040,5,0,46,32,83,265,27,83,219
1,Canada,Lithuania,43040,5,-1,-2,27,82,238,22,83,240
0,Cameroon,USA,43040,-5,0,5,24,84,250,29,84,245
0,Poland,USA,43040,-2,-2,0,34,83,240,36,85,240
1,Dominican Republic,USA,43040,7,-2,5,32,82,245,25,84,240
1,USA,USA,43040,-1,1,-10,29,85,265,30,84,275
1,Latvia,Switzerland,43040,-1,5,0,23,87,240,24,82,240
0,Spain,Montenegro,43040,6,1,-5,33,85,255,27,84,260
0,USA,USA,43040,3,-2,5,25,82,253,22,84,248
0,USA,Lithuania,43040,7,-4,-19,33,80,246,26,84,265
1,France,Bosnia and Herzegovina,43040,2,2,-30,26,86,245,24,84,275
1,USA,USA,43040,4,3,40,30,83,265,26,80,225
1,Spain,Russia,43041,4,1,-20,38,84,250,34,83,270
0,Bosnia and Herzegovina,USA,43041,-6,0,5,24,84,275,30,84,270
0,Montenegro,USA,43042,-3,0,-15,27,84,260,30,84,275
1,Cameroon,Lithuania,43042,2,1,10,24,84,250,22,83,240
1,Poland,USA,43042,1,3,-10,34,83,240,33,80,250
1,USA,Switzerland,43042,5,2,5,29,84,245,24,82,240
0,Latvia,USA,43042,-13,2,0,23,87,240,36,85,240
0,USA,USA,43042,-1,1,-33,24,83,220,25,82,253
0,Spain,USA,43042,6,1,-15,38,84,250,32,83,265
0,USA,USA,43042,4,-5,-19,33,80,246,29,85,265
0,France,Lithuania,43042,0,2,-20,26,86,245,26,84,265
1,New Zealand,Dominican Republic,43042,-7,2,20,25,84,265,32,82,245
1,USA,Russia,43042,-2,-1,-5,30,84,270,32,85,275
0,USA,Spain,43043,-3,-2,10,30,83,265,33,85,255
1,USA,USA,43043,0,-1,39,25,83,279,25,84,240
1,USA,USA,43043,5,2,22,30,84,275,25,82,253
1,USA,Tunisia,43043,-10,-2,13,22,84,248,32,86,235
0,USA,Russia,43043,-1,-3,-24,33,80,246,34,83,270
0,USA,USA,43044,4,-4,5,33,80,250,29,84,245
0,USA,USA,43044,1,-2,0,30,83,265,29,85,265
0,Montenegro,Dominican Republic,43044,-5,2,15,27,84,260,32,82,245
0,Lithuania,Poland,43044,-8,1,25,26,84,265,34,83,240
1,Switzerland,France,43044,-2,-4,-5,24,82,240,26,86,245
0,Spain,USA,43044,2,-1,10,38,84,250,36,85,240
0,Latvia,USA,43044,1,4,-10,23,87,240,22,83,250
1,USA,USA,43044,-10,1,-17,22,84,248,32,83,265
0,Bosnia and Herzegovina,New Zealand,43044,-1,0,10,24,84,275,25,84,265
1,USA,Spain,43044,-3,-1,15,30,84,270,33,85,255
1,USA,Dominican Republic,43045,-3,2,0,29,84,245,32,82,245
1,USA,Russia,43045,4,0,-35,36,85,240,32,85,275
0,Russia,USA,43045,5,-2,5,34,83,270,29,85,265
0,USA,USA,43046,6,-3,31,33,80,250,27,83,219
1,USA,USA,43046,-3,1,-3,22,83,250,25,82,253
0,Poland,USA,43046,8,3,15,34,83,240,26,80,225
0,Latvia,USA,43046,-9,4,-25,23,87,240,32,83,265
0,Lithuania,USA,43046,-4,0,-10,26,84,265,30,84,275
0,Spain,USA,43046,8,1,-15,38,84,250,30,83,265
0,USA,Russia,43046,1,-5,-29,33,80,246,32,85,275
1,France,USA,43046,2,4,5,26,86,245,24,82,240
0,Bosnia and Herzegovina,Spain,43046,-9,-1,20,24,84,275,33,85,255
0,USA,New Zealand,43046,0,0,-25,25,84,240,25,84,265
1,USA,USA,43047,3,0,29,25,83,279,22,83,250
0,Montenegro,USA,43047,1,1,10,27,84,260,26,83,250
0,Australia,USA,43047,1,-2,-10,31,82,260,30,84,270
0,Ukraine,USA,43047,-4,0,-15,25,85,250,29,85,265
0,Russia,USA,43047,12,-1,22,34,83,270,22,84,248
1,Poland,USA,43048,4,-1,-30,34,83,240,30,84,270
1,Lithuania,USA,43048,1,2,12,26,84,265,25,82,253
1,Switzerland,USA,43048,-6,0,-11,24,82,240,30,82,251
0,USA,Cameroon,43048,1,0,-10,25,84,240,24,84,250
0,USA,New Zealand,43048,8,-4,-19,33,80,246,25,84,265
1,USA,USA,43049,-4,-1,34,25,83,279,29,84,245
1,Australia,USA,43049,-1,-1,-5,31,82,260,32,83,265
1,USA,USA,43049,8,1,25,30,84,275,22,83,250
0,USA,USA,43049,-7,1,-10,23,84,255,30,83,265
1,Spain,USA,43049,11,1,31,38,84,250,27,83,219
0,Ukraine,Montenegro,43049,-2,1,-10,25,85,250,27,84,260
1,France,USA,43049,-3,1,-20,26,86,245,29,85,265
1,Bosnia and Herzegovina,Russia,43049,-8,-1,0,24,84,275,32,85,275
1,Poland,USA,43050,5,-1,-5,34,83,240,29,84,245
0,USA,USA,43050,-5,-1,-12,25,82,253,30,83,265
1,Latvia,USA,43050,-2,3,0,23,87,240,25,84,240
